A description of the column;description;columns;string
The name of the column within the table;name;columns;string
The name of the table;table;columns;string
The data type of the column (int, float, string, list);type;columns;string
Whether passive host checks are accepted (0/1);accept_passive_checks;hosts;int
Whether the current host problem has been acknowledged (0/1);acknowledged;hosts;int
Type of acknowledgement (0: none, 1: normal, 2: stick);acknowledgement_type;hosts;int
An optional URL to custom actions or information about this host;action_url;hosts;string
The same as action_url, but with the most important macros expanded;action_url_expanded;hosts;string
Whether active checks are enabled for the host (0/1);active_checks_enabled;hosts;int
IP address;address;hosts;string
An alias name for the host;alias;hosts;string
The importance we gave to this host between the minimum 0 and the maximum 5;business_impact;hosts;int
Nagios command for active host check of this host;check_command;hosts;string
Whether to check to send a recovery notification when flapping stops (0/1);check_flapping_recovery_notification;hosts;int
Whether freshness checks are activated (0/1);check_freshness;hosts;int
Number of basic interval lengths between two scheduled checks of the host;check_interval;hosts;float
The current check option, forced, normal, freshness... (0-2);check_options;hosts;int
Time period in which this host will be checked. If empty then the host will always be checked.;check_period;hosts;string
Type of check (0: active, 1: passive);check_type;hosts;int
Whether checks of the host are enabled (0/1);checks_enabled;hosts;int
List of the host/service that depend on this host (logical, network or business one).;child_dependencies;hosts;list
A list of all direct childs of the host;childs;hosts;list
A list of the ids of all comments of this host;comments;hosts;list
A list of the ids of all comments of this host with id, author and comment;comments_with_info;hosts;list
A list of all contact groups this host is in;contact_groups;hosts;list
A list of all contacts of this host, either direct or via a contact group;contacts;hosts;list
The importance we gave to this host between the minimum 0 and the maximum 5;criticity;hosts;int
Number of the current check attempts;current_attempt;hosts;int
Number of the current notification;current_notification_number;hosts;int
A list of the names of all custom variables;custom_variable_names;hosts;list
A list of the values of the custom variables;custom_variable_values;hosts;list
A dictionary of the custom variables;custom_variables;hosts;list
Optional display name of the host - not used by Nagios' web interface;display_name;hosts;string
A list of the ids of all scheduled downtimes of this host;downtimes;hosts;list
A list of the all scheduled downtimes of the host with id, author and comment;downtimes_with_info;hosts;list
Nagios command used as event handler;event_handler;hosts;string
Whether event handling is enabled (0/1);event_handler_enabled;hosts;int
Time the host check needed for execution;execution_time;hosts;float
The value of the custom variable FILENAME;filename;hosts;string
Delay before the first notification;first_notification_delay;hosts;float
Whether flap detection is enabled (0/1);flap_detection_enabled;hosts;int
Whether the host state is an business rule based host or not (0/1);got_business_rule;hosts;int
A list of all host groups this host is in;groups;hosts;list
The effective hard state of the host (eliminates a problem in hard_state);hard_state;hosts;int
Whether the host has already been checked (0/1);has_been_checked;hosts;int
High threshold of flap detection;high_flap_threshold;hosts;float
The name of an image file to be used in the web pages;icon_image;hosts;string
Alternative text for the icon_image;icon_image_alt;hosts;string
The same as icon_image, but with the most important macros expanded;icon_image_expanded;hosts;string
List of what the source impact (list of hosts and services);impacts;hosts;list
Whether this host is currently in its check period (0/1);in_check_period;hosts;int
Whether this host is currently in its notification period (0/1);in_notification_period;hosts;int
Initial host state;initial_state;hosts;int
is there a host check currently running... (0/1);is_executing;hosts;int
Whether the host state is flapping (0/1);is_flapping;hosts;int
Whether the host state is an impact or not (0/1);is_impact;hosts;int
Whether the host state is a problem or not (0/1);is_problem;hosts;int
Time of the last check (Unix timestamp);last_check;hosts;int
Last hard state;last_hard_state;hosts;int
Time of the last hard state change (Unix timestamp);last_hard_state_change;hosts;int
Time of the last notification (Unix timestamp);last_notification;hosts;int
State before last state change;last_state;hosts;int
Time of the last state change - soft or hard (Unix timestamp);last_state_change;hosts;int
The last time the host was DOWN (Unix timestamp);last_time_down;hosts;int
The last time the host was UNREACHABLE (Unix timestamp);last_time_unreachable;hosts;int
The last time the host was UP (Unix timestamp);last_time_up;hosts;int
Time difference between scheduled check time and actual check time;latency;hosts;float
Complete output from check plugin;long_plugin_output;hosts;string
Low threshold of flap detection;low_flap_threshold;hosts;float
Max check attempts for active host checks;max_check_attempts;hosts;int
A bitmask specifying which attributes have been modified;modified_attributes;hosts;int
A list of all modified attributes;modified_attributes_list;hosts;list
Host name;name;hosts;string
Scheduled time for the next check (Unix timestamp);next_check;hosts;int
Time of the next notification (Unix timestamp);next_notification;hosts;int
Whether to stop sending notifications (0/1);no_more_notifications;hosts;int
Optional notes for this host;notes;hosts;string
The same as notes, but with the most important macros expanded;notes_expanded;hosts;string
An optional URL with further information about the host;notes_url;hosts;string
Same es notes_url, but with the most important macros expanded;notes_url_expanded;hosts;string
Interval of periodic notification or 0 if its off;notification_interval;hosts;float
Time period in which problems of this host will be notified. If empty then notification will be always;notification_period;hosts;string
Whether notifications of the host are enabled (0/1);notifications_enabled;hosts;int
The total number of services of the host;num_services;hosts;int
The number of the host's services with the soft state CRIT;num_services_crit;hosts;int
The number of the host's services with the hard state CRIT;num_services_hard_crit;hosts;int
The number of the host's services with the hard state OK;num_services_hard_ok;hosts;int
The number of the host's services with the hard state UNKNOWN;num_services_hard_unknown;hosts;int
The number of the host's services with the hard state WARN;num_services_hard_warn;hosts;int
The number of the host's services with the soft state OK;num_services_ok;hosts;int
The number of the host's services which have not been checked yet (pending);num_services_pending;hosts;int
The number of the host's services with the soft state UNKNOWN;num_services_unknown;hosts;int
The number of the host's services with the soft state WARN;num_services_warn;hosts;int
The current obsess_over_host setting... (0/1);obsess_over_host;hosts;int
List of the dependencies (logical, network or business one) of this host.;parent_dependencies;hosts;list
A list of all direct parents of the host;parents;hosts;list
Whether a flex downtime is pending (0/1);pending_flex_downtime;hosts;int
Percent state change;percent_state_change;hosts;float
Optional performance data of the last host check;perf_data;hosts;string
Output of the last host check;plugin_output;hosts;string
Whether there is a PNP4Nagios graph present for this host (0/1);pnpgraph_present;hosts;int
Poller Tag;poller_tag;hosts;string
Whether processing of performance data is enabled (0/1);process_performance_data;hosts;int
